word,reason
Azerbaijan,no_usable_definitions
Bahrain,no_usable_definitions
Cuba,no_usable_definitions
Jordan,no_usable_definitions
Mayotte,no_usable_definitions
Pakistani,no_usable_definitions
Omani,no_usable_definitions
tupo,no_usable_definitions
kunia,no_usable_definitions
akawa,no_usable_definitions
Japani,no_usable_definitions
kutoa,no_usable_definitions
Kolombia,no_usable_definitions
Kroatia,no_usable_definitions
kurai,no_usable_definitions
umo,no_usable_definitions
niwe,no_usable_definitions
kunya,no_usable_definitions
Malesia,no_usable_definitions
Bahama,no_usable_definitions
kuona,no_usable_definitions
vina,no_usable_definitions
kulaani,no_usable_definitions
kulaani,no_usable_definitions
alianza,no_usable_definitions
Maldivi,no_usable_definitions
kulala,no_usable_definitions
kufa,no_usable_definitions
kuua,no_usable_definitions
kuandika,no_usable_definitions
kuendesha,no_usable_definitions
kusaidia,no_usable_definitions
kunywa,no_usable_definitions
kusafiri,no_usable_definitions
kusumbua,no_usable_definitions
tuwe,no_usable_definitions
kuvaa,no_usable_definitions
haina,no_usable_definitions
kooni,no_usable_definitions
kupata,no_usable_definitions
zina,no_usable_definitions
kukinga,no_usable_definitions
nilikwenda,no_usable_definitions
nikanunua,no_usable_definitions
niko,no_usable_definitions
kumea,no_usable_definitions
ilio,no_usable_definitions
kupuna,no_usable_definitions
kukuza,no_usable_definitions
kiko,no_usable_definitions
porini,no_usable_definitions
kujivinjari,no_usable_definitions
kusisimua,no_usable_definitions
kuiga,no_usable_definitions
Ubelgiji,no_usable_definitions
Ugiriki,no_usable_definitions
Ufaransa,no_usable_definitions
Nyuzilandi,no_usable_definitions
Uswidi,no_usable_definitions
Ufini,no_usable_definitions
Moritania,no_usable_definitions
Maldova,no_usable_definitions
Nikaragwa,no_usable_definitions
Peruu,no_usable_definitions
Paragwai,no_usable_definitions
Urugwai,no_usable_definitions
Belarusi,no_usable_definitions
Surinamu,no_usable_definitions
Sirilanka,no_usable_definitions
Korasia,no_usable_definitions
Yordani,no_usable_definitions
Taiwani,no_usable_definitions
kukama,no_usable_definitions
Urusi,no_usable_definitions
kutia,no_usable_definitions
kuzini,no_usable_definitions
kuoa,no_usable_definitions
hamna,no_usable_definitions
kufira,no_usable_definitions
mwituni,no_usable_definitions
Brazili,no_usable_definitions
kusoma,no_usable_definitions
kufanya,no_usable_definitions
kutaka,no_usable_definitions
kuchukia,no_usable_definitions
kuacha,no_usable_definitions
kutapika,no_usable_definitions
tuende,no_usable_definitions
nenda,no_usable_definitions
kwenda,no_usable_definitions
kufaa,no_usable_definitions
kuleta,no_usable_definitions
kununua,no_usable_definitions
Uingereza,no_usable_definitions
kutii,no_usable_definitions
wawe,no_usable_definitions
analia,no_usable_definitions
nile,no_usable_definitions
Donati,no_usable_definitions
kupiga,no_usable_definitions
hospitalini,no_usable_definitions
mlangoni,no_usable_definitions
nyumbani,no_usable_definitions
mezani,no_usable_definitions
ni saa ngapi,unknown_pos
Uholanzi,no_usable_definitions
kulaki,no_usable_definitions
kudakua,no_usable_definitions
kupenda,no_usable_definitions
kichwani,no_usable_definitions
nchini,no_usable_definitions
Wikamusi,no_usable_definitions
lete,no_usable_definitions
Uturuki,no_usable_definitions
kudara,no_usable_definitions
serikalini,no_usable_definitions
barabarani,no_usable_definitions
mgongoni,no_usable_definitions
mvunguni,no_usable_definitions
hotelini,no_usable_definitions
sokoni,no_usable_definitions
kuimba,no_usable_definitions
nyote,unknown_pos
Uswisi,no_usable_definitions
ambaye,unknown_pos
ambao,unknown_pos
ambalo,unknown_pos
ambacho,unknown_pos
ambavyo,unknown_pos
duniani,no_usable_definitions
mwilini,no_usable_definitions
msikitini,no_usable_definitions
Uarabuni,no_usable_definitions
Ufilipino,no_usable_definitions
mkononi,no_usable_definitions
vijijini,no_usable_definitions
kijijini,no_usable_definitions
mikoani,no_usable_definitions
wilayani,no_usable_definitions
mjini,no_usable_definitions
mijini,no_usable_definitions
kusema,no_usable_definitions
kucheza,no_usable_definitions
kulinda,no_usable_definitions
